ID,Fecha,Categoria,Ventas,Clientes,Region,Descuento,Satisfaccion
1,2023-01-01 00:00:00,D,92.69,1,Oeste,20,4.7
2,2023-01-01 01:00:00,E,219.01,29,Sur,5,3.0
3,2023-01-01 02:00:00,C,754.94,4,Oeste,5,4.6
4,2023-01-01 03:00:00,E,60.78,23,Norte,15,2.8
5,2023-01-01 04:00:00,E,497.61,28,Norte,15,2.1
6,2023-01-01 05:00:00,B,447.69,16,Oeste,10,4.7
7,2023-01-01 06:00:00,C,341.06,12,Norte,20,2.6
8,2023-01-01 07:00:00,C,400.63,21,Este,10,3.0
9,2023-01-01 08:00:00,C,534.64,45,Oeste,10,2.3
10,2023-01-01 09:00:00,E,169.75,17,Sur,0,3.7
11,2023-01-01 10:00:00,D,576.28,40,Norte,0,5.0
12,2023-01-01 11:00:00,C,807.38,13,Este,15,1.1
13,2023-01-01 12:00:00,E,762.56,32,Este,10,4.6
14,2023-01-01 13:00:00,B,162.36,37,Norte,15,1.0
15,2023-01-01 14:00:00,D,157.76,15,Este,20,2.5
16,2023-01-01 15:00:00,B,275.49,12,Oeste,5,1.7
17,2023-01-01 16:00:00,D,367.46,49,Este,0,4.0
18,2023-01-01 17:00:00,E,414.37,15,Norte,20,1.2
19,2023-01-01 18:00:00,A,682.9,34,Este,20,3.2
20,2023-01-01 19:00:00,D,66.11,6,Norte,0,2.2
21,2023-01-01 20:00:00,B,44.33,17,Norte,0,1.5
22,2023-01-01 21:00:00,E,397.99,48,Este,10,4.1
23,2023-01-01 22:00:00,D,700.19,49,Norte,15,1.9
24,2023-01-01 23:00:00,A,201.5,20,Norte,20,1.9
25,2023-01-02 00:00:00,A,645.09,9,Sur,10,2.1
26,2023-01-02 01:00:00,C,267.23,5,Oeste,10,3.3
27,2023-01-02 02:00:00,C,887.23,23,Norte,20,3.6
28,2023-01-02 03:00:00,B,896.73,33,Oeste,20,1.1
29,2023-01-02 04:00:00,D,304.31,38,Sur,5,2.0
30,2023-01-02 05:00:00,D,237.69,14,Sur,15,2.7
31,2023-01-02 06:00:00,C,417.19,17,Sur,20,2.3
32,2023-01-02 07:00:00,D,248.13,19,Sur,0,4.5
33,2023-01-02 08:00:00,D,675.66,33,Oeste,5,4.2
34,2023-01-02 09:00:00,A,827.8,1,Este,15,3.5
35,2023-01-02 10:00:00,C,676.36,13,Este,0,2.4
36,2023-01-02 11:00:00,E,826.11,46,Oeste,0,3.8
37,2023-01-02 12:00:00,C,403.02,27,Norte,15,4.4
38,2023-01-02 13:00:00,E,164.75,6,Oeste,5,3.4
39,2023-01-02 14:00:00,A,740.57,6,Norte,0,4.1
40,2023-01-02 15:00:00,B,366.87,33,Norte,10,4.0
41,2023-01-02 16:00:00,D,674.56,30,Este,15,3.3
42,2023-01-02 17:00:00,A,277.94,46,Sur,15,2.2
43,2023-01-02 18:00:00,D,90.42,35,Este,20,4.0
44,2023-01-02 19:00:00,B,992.66,23,Este,5,1.8
45,2023-01-02 20:00:00,B,164.64,10,Oeste,10,4.1
46,2023-01-02 21:00:00,A,988.54,19,Oeste,10,4.2
47,2023-01-02 22:00:00,B,977.51,28,Norte,20,4.3
48,2023-01-02 23:00:00,E,795.88,23,Oeste,0,2.9
49,2023-01-03 00:00:00,B,662.83,4,Norte,0,1.8
50,2023-01-03 01:00:00,D,582.03,20,Norte,10,1.4
51,2023-01-03 02:00:00,D,867.44,19,Sur,5,4.0
52,2023-01-03 03:00:00,D,296.55,42,Sur,0,4.5
53,2023-01-03 04:00:00,D,473.0,27,Este,15,3.6
54,2023-01-03 05:00:00,E,623.2,34,Sur,20,1.6
55,2023-01-03 06:00:00,C,417.08,4,Norte,5,4.7
56,2023-01-03 07:00:00,A,433.21,38,Oeste,0,5.0
57,2023-01-03 08:00:00,D,336.98,7,Sur,10,2.7
58,2023-01-03 09:00:00,B,568.59,48,Sur,20,3.4
59,2023-01-03 10:00:00,D,852.07,7,Sur,0,4.1
60,2023-01-03 11:00:00,B,209.51,26,Sur,10,3.9
61,2023-01-03 12:00:00,B,935.09,26,Norte,0,4.9
62,2023-01-03 13:00:00,D,692.2,19,Norte,20,1.5
63,2023-01-03 14:00:00,E,825.04,9,Este,15,3.3
64,2023-01-03 15:00:00,B,560.63,20,Oeste,15,3.8
65,2023-01-03 16:00:00,B,781.72,42,Este,10,4.6
66,2023-01-03 17:00:00,D,26.04,45,Este,15,4.5
67,2023-01-03 18:00:00,B,820.2,16,Sur,20,4.9
68,2023-01-03 19:00:00,B,49.74,17,Oeste,10,3.0
69,2023-01-03 20:00:00,D,891.01,22,Sur,0,4.3
70,2023-01-03 21:00:00,D,992.04,13,Norte,5,2.7
71,2023-01-03 22:00:00,A,301.13,12,Este,0,2.7
72,2023-01-03 23:00:00,E,218.22,10,Oeste,20,2.0
73,2023-01-04 00:00:00,E,767.71,1,Norte,10,4.3
74,2023-01-04 01:00:00,B,260.5,32,Este,0,4.9
75,2023-01-04 02:00:00,E,866.91,30,Oeste,10,2.0
76,2023-01-04 03:00:00,B,111.81,8,Este,15,1.2
77,2023-01-04 04:00:00,A,134.7,21,Oeste,5,4.3
78,2023-01-04 05:00:00,D,979.36,22,Este,20,3.5
79,2023-01-04 06:00:00,D,677.1,18,Sur,0,4.8
80,2023-01-04 07:00:00,D,848.42,2,Este,5,2.0
81,2023-01-04 08:00:00,E,331.09,48,Este,20,1.3
82,2023-01-04 09:00:00,A,679.72,44,Oeste,20,3.0
83,2023-01-04 10:00:00,E,598.3,9,Oeste,15,1.3
84,2023-01-04 11:00:00,E,607.12,3,Sur,10,2.0
85,2023-01-04 12:00:00,A,685.71,26,Oeste,10,1.5
86,2023-01-04 13:00:00,A,579.61,21,Este,5,1.9
87,2023-01-04 14:00:00,A,434.77,30,Oeste,15,1.4
88,2023-01-04 15:00:00,A,283.16,28,Oeste,20,4.8
89,2023-01-04 16:00:00,D,770.9,36,Oeste,15,2.1
90,2023-01-04 17:00:00,C,234.01,26,Sur,15,2.8
91,2023-01-04 18:00:00,C,695.43,34,Sur,5,4.6
92,2023-01-04 19:00:00,A,241.0,8,Norte,10,3.7
93,2023-01-04 20:00:00,C,629.08,10,Sur,15,3.5
94,2023-01-04 21:00:00,C,749.61,48,Sur,15,3.8
95,2023-01-04 22:00:00,A,226.53,43,Sur,15,4.3
96,2023-01-04 23:00:00,C,69.34,14,Este,0,4.5
97,2023-01-05 00:00:00,E,139.66,40,Norte,15,3.6
98,2023-01-05 01:00:00,B,609.94,15,Este,15,4.6
99,2023-01-05 02:00:00,B,850.95,17,Sur,20,3.1
100,2023-01-05 03:00:00,A,54.55,18,Sur,0,2.1
101,2023-01-05 04:00:00,D,736.81,32,Norte,15,4.5
102,2023-01-05 05:00:00,A,347.91,38,Norte,15,3.2
103,2023-01-05 06:00:00,D,483.74,23,Oeste,5,4.6
104,2023-01-05 07:00:00,B,929.57,46,Sur,5,1.2
105,2023-01-05 08:00:00,A,338.65,23,Sur,0,2.6
106,2023-01-05 09:00:00,E,470.68,35,Este,20,4.8
107,2023-01-05 10:00:00,C,23.55,39,Oeste,0,2.0
108,2023-01-05 11:00:00,D,90.78,15,Sur,0,4.8
109,2023-01-05 12:00:00,C,266.01,24,Este,5,4.8
110,2023-01-05 13:00:00,C,37.57,28,Norte,5,4.5
111,2023-01-05 14:00:00,A,635.06,16,Este,20,3.3
112,2023-01-05 15:00:00,C,432.13,16,Sur,15,3.6
113,2023-01-05 16:00:00,E,552.66,40,Este,20,4.5
114,2023-01-05 17:00:00,C,182.9,39,Este,15,4.1
115,2023-01-05 18:00:00,A,302.97,6,Oeste,10,3.5
116,2023-01-05 19:00:00,E,667.19,2,Oeste,5,4.9
